actor_logprob,actor_loss,alpha_loss,alpha_value,batch_reward,buffer_size,critic_loss,critic_target_q,episode,episode_length,episode_reward,fps,frame,step,total_time
-2.383333320617676,-2.350861530303955,-0.005272502864245326,0.9987005496025085,-2.3965207004547118,550.0,0.1295618999004364,-0.07867146322503686,11.0,50.0,-35.35964390899992,13.197605245633243,550,550.0,3.788567066192627
-2.458690481185913,-2.4082767486572267,-0.016549602262675763,0.9961986255645752,-2.374679594039917,600.0,0.11342529714107513,-0.0027948410995304583,12.0,50.0,-38.148017678006454,320.1436191162417,600,600.0,3.9447481632232666
-2.5527385330200194,-2.5784953117370604,-0.028414071798324586,0.9936836266517639,-2.364886360168457,650.0,0.10807198405265808,0.09577956294640899,13.0,50.0,-39.85051848057212,329.8477179715442,650,650.0,4.096333026885986
-2.7203214359283447,-2.8948698234558106,-0.04156278043985367,0.9911408591270446,-2.358252592086792,700.0,0.10200043708086014,0.2800513768196106,14.0,50.0,-37.00113636810002,346.69743789821024,700,700.0,4.240551948547363
-3.000026159286499,-3.462595987319946,-0.05716703355312348,0.9885421967506409,-2.357225179672241,750.0,0.13149277716875077,0.5880145943164825,15.0,50.0,-32.07512075164251,335.2600195034611,750,750.0,4.38969087600708
-3.5081425094604493,-4.495453653335571,-0.07808536767959595,0.9858407497406005,-2.322272539138794,800.0,0.31098474383354185,1.2183300685882568,16.0,50.0,-38.05477107437534,337.609409234405,800,800.0,4.537791013717651
-4.380318107604981,-6.259846286773682,-0.10920228898525237,0.9829537987709045,-2.320829334259033,850.0,0.840387510061264,2.2525285863876343,17.0,50.0,-44.69147160461984,344.7732092656222,850,850.0,4.682813882827759
-5.5217074775695805,-8.71863447189331,-0.15282523036003112,0.9797841334342956,-2.3277319717407225,900.0,1.571103515625,3.652554864883423,18.0,50.0,-38.51428578287923,338.0818269604342,900,900.0,4.83070707321167
-5.861270217895508,-10.551740455627442,-0.18647772550582886,0.9764276552200317,-2.3345906734466553,950.0,0.7628573560714722,4.450856494903564,19.0,50.0,-36.47664861519686,338.7787080817985,950,950.0,4.978296756744385
-5.898613147735595,-11.728026237487793,-0.2139648312330246,0.9731471633911133,-2.3254432010650636,1000.0,0.45197500586509703,5.121734981536865,20.0,50.0,-43.76852739044117,322.44084016119336,1000,1000.0,5.133364915847778
-5.918848781585694,-12.550364379882813,-0.24021191656589508,0.9699984478950501,-2.3342598628997804,1050.0,0.45580893516540527,5.823465690612793,21.0,50.0,-22.870667635382528,76.35814435121763,1050,1050.0,5.7881739139556885
-5.945230159759522,-13.481581344604493,-0.26599956035614014,0.9669564461708069,-2.3050128841400146,1100.0,0.5078186547756195,6.656825942993164,22.0,50.0,-25.524991183015274,302.2956661121858,1100,1100.0,5.953574895858765
-5.986793766021728,-14.417435455322266,-0.2919182050228119,0.9639947438240051,-2.2653560924530027,1150.0,0.5927555537223816,7.5788908958435055,23.0,50.0,-37.900466191202256,205.67653554797988,1150,1150.0,6.196675062179565
-6.0477019309997555,-15.340531883239747,-0.3184358537197113,0.9610916233062744,-2.262616529464722,1200.0,0.6271643781661987,8.465331840515137,24.0,50.0,-22.965047498174687,194.82999365478108,1200,1200.0,6.453310012817383
-6.160591506958008,-16.419908905029295,-0.3472745931148529,0.9582283091545105,-2.241038303375244,1250.0,0.6130812454223633,9.487094345092773,25.0,50.0,-33.156287266492164,200.9478455008001,1250,1250.0,6.702131032943726
-6.363800182342529,-17.741477279663087,-0.3808474600315094,0.9553790330886841,-2.2171165466308596,1300.0,0.5925808227062226,10.648529930114746,26.0,50.0,-15.486242396452745,205.12150391971792,1300,1300.0,6.945889949798584
-6.764900722503662,-19.551792602539063,-0.4255364596843719,0.9525091648101807,-2.188709201812744,1350.0,0.5375381851196289,12.083173942565917,27.0,50.0,-17.519855322996868,191.29816086124455,1350,1350.0,7.207262992858887
-7.603608131408691,-22.657971954345705,-0.49626358270645143,0.9495465540885926,-2.1294655227661132,1400.0,0.6618016827106475,14.184875068664551,28.0,50.0,-11.738204470309878,213.55948427646058,1400,1400.0,7.441390752792358
-9.101645393371582,-27.44729637145996,-0.6109705495834351,0.946371648311615,-2.103866248130798,1450.0,1.304379415512085,17.079626579284668,29.0,50.0,-8.228670941768783,188.54041457904233,1450,1450.0,7.706585884094238
-12.023772468566895,-36.022407913208006,-0.8250050139427185,0.942802517414093,-2.0387317657470705,1500.0,4.039355087280273,22.00212287902832,30.0,50.0,-0.942110267470655,192.14718305342532,1500,1500.0,7.966804027557373
-17.210365715026857,-50.2696565246582,-1.2168140840530395,0.9385698628425598,-1.9870481538772582,1550.0,14.785990753173827,29.854561538696288,31.0,50.0,12.776808698487542,64.43995688336015,1550,1550.0,8.742720127105713
-27.624807205200195,-76.15049682617187,-2.0419544267654417,0.933370156288147,-1.8700840091705322,1600.0,69.71885375976562,44.3870263671875,32.0,50.0,-1.8015451335266484,250.5501069868187,1600,1600.0,8.94228196144104
-45.42302474975586,-116.55835205078125,-3.5937788772583006,0.9270036911964417,-1.7948983478546143,1650.0,308.2865386962891,68.13035064697266,33.0,50.0,-1.1613578996989578,160.45232493640137,1650,1650.0,9.253901720046997
-73.41906021118164,-173.80994018554688,-6.310459117889405,0.9197566676139831,-1.7630210304260254,1700.0,1284.5185668945312,103.94611846923829,34.0,50.0,3.249326823129662,173.03205770287508,1700,1700.0,9.542865991592407
-115.49468353271484,-251.49500610351564,-10.820397758483887,0.9120327401161193,-1.7423424863815307,1750.0,4541.67220703125,156.40470550537108,35.0,50.0,3.7984527910978656,176.50818553141778,1750,1750.0,9.826138973236084
-179.2500616455078,-357.58276733398435,-18.262635765075682,0.9041204261779785,-1.6977542209625245,1800.0,14073.39486328125,234.0245684814453,36.0,50.0,3.7306146601370234,207.80773282044117,1800,1800.0,10.06674575805664
-273.06590454101564,-498.7604553222656,-30.134589157104493,0.8961823272705078,-1.6263748025894165,1850.0,40572.89421875,343.9587976074219,37.0,50.0,3.2797262624319963,182.15655294795147,1850,1850.0,10.341234922409058
-400.8650280761719,-677.6242797851562,-47.687166137695314,0.8882860398292541,-1.574927444458008,1900.0,100924.74671875,489.98961669921874,38.0,50.0,0.010705789671760613,186.4126826102995,1900,1900.0,10.609457969665527
-571.1076208496094,-900.9397265625,-72.85867218017579,0.8805403304100037,-1.5280215978622436,1950.0,227798.230625,680.269404296875,39.0,50.0,17.066441457376676,187.63640007587227,1950,1950.0,10.875930786132812
-790.7925268554687,-1173.817900390625,-107.65122039794922,0.8729412341117859,-1.4783541440963746,2000.0,472546.5825,920.4576708984375,40.0,50.0,3.2183006408480335,183.02406805872403,2000,2000.0,11.149120092391968
-1075.252607421875,-1509.7704345703125,-155.50379974365234,0.8655201816558837,-1.4392856121063233,2050.0,926118.655,1221.8217578125,41.0,50.0,2.7637834418788074,70.26545820178362,2050,2050.0,11.860706090927124
-1443.8788818359376,-1927.0324658203126,-220.87923767089845,0.8581808805465698,-1.3768234968185424,2100.0,1723061.84,1604.5150634765625,42.0,50.0,-2.743726956710489,307.12381889648464,2100,2100.0,12.023506879806519
-1892.1760009765626,-2414.6302734375,-305.2662561035156,0.85102135181427,-1.340120062828064,2150.0,3070676.94,2059.8185302734373,43.0,50.0,-1.035063885740037,188.74115086857836,2150,2150.0,12.288420915603638
-2399.217314453125,-2952.02986328125,-406.77132690429687,0.844044930934906,-1.322450075149536,2200.0,5067807.87,2567.992822265625,44.0,50.0,8.137140495810785,205.93687613357727,2200,2200.0,12.531213760375977
-3128.674580078125,-3691.39041015625,-555.8294506835938,0.8372062420845032,-1.2505284023284913,2250.0,8659417.06,3278.327724609375,45.0,50.0,15.48856772950842,183.11308094024415,2250,2250.0,12.804269790649414
-3952.037333984375,-4508.313935546875,-734.0560229492188,0.8304021024703979,-1.210793776512146,2300.0,13850377.6,4066.529013671875,46.0,50.0,7.393376414809072,196.4072349794944,2300,2300.0,13.058843851089478
-4905.361015625,-5428.50765625,-950.581142578125,0.8237555360794068,-1.1896498322486877,2350.0,21479025.52,4959.58833984375,47.0,50.0,9.5402797164083,194.88847462730396,2350,2350.0,13.315401077270508
-5938.25203125,-6406.48935546875,-1197.6381958007812,0.8172761344909668,-1.2152154397964479,2400.0,31725882.56,5922.82939453125,48.0,50.0,-2.6432648959723366,195.7867358265625,2400,2400.0,13.570781946182251
-7317.65326171875,-7676.08576171875,-1532.7153564453124,0.8109296369552612,-1.158108458518982,2450.0,47829654.4,7173.4950390625,49.0,50.0,11.138129369700893,206.9940561380097,2450,2450.0,13.812335968017578
-8896.08154296875,-9099.9965234375,-1932.23109375,0.8046617197990418,-1.1120433902740479,2500.0,70180569.44,8578.04505859375,50.0,50.0,6.2743160860932345,201.13768348766837,2500,2500.0,14.060922861099243
-10897.9291796875,-10868.6617578125,-2451.148291015625,0.7984399175643921,-1.0477311134338378,2550.0,104070426.56,10348.315234375,51.0,50.0,1.6615940047811328,70.85312876496103,2550,2550.0,14.766608953475952
-13043.0930859375,-12730.754453125,-3034.382548828125,0.7923012256622315,-1.0065524315834045,2600.0,147620991.68,12201.250859375,52.0,50.0,-2.3478880207997115,283.104719554949,2600,2600.0,14.943222999572754
-15109.3473828125,-14499.4273046875,-3629.928720703125,0.7863069653511048,-1.0519557690620422,2650.0,197772675.84,13990.7325390625,53.0,50.0,3.584352698632193,183.46004893662996,2650,2650.0,15.21576189994812
-17887.6893359375,-16831.8009765625,-4430.63166015625,0.7804608774185181,-1.020266089439392,2700.0,273657325.44,16346.9687890625,54.0,50.0,5.9579007361249126,176.44328899433773,2700,2700.0,15.499139785766602
-20928.0325,-19343.7484375,-5338.83390625,0.7746878290176391,-0.9909741997718811,2750.0,371526737.92,18878.9759375,55.0,50.0,0.4477067732659883,129.2606542937992,2750,2750.0,15.885955810546875
-24315.10703125,-22103.4840625,-6381.75388671875,0.7690174865722657,-0.9910774803161622,2800.0,494820592.64,21690.423828125,56.0,50.0,0.6851719605881019,195.6807788594233,2800,2800.0,16.141474723815918
-28502.09953125,-25464.610390625,-7689.05263671875,0.7634171676635743,-0.9532891035079956,2850.0,668833328.64,25098.021796875,57.0,50.0,8.489710998302202,192.19737065192984,2850,2850.0,16.40162491798401
-32734.59328125,-28810.18484375,-9069.15689453125,0.757866985797882,-0.9260799527168274,2900.0,876177402.88,28420.113984375,58.0,50.0,7.129830274062311,188.76697384457242,2900,2900.0,16.666501998901367
-38053.96546875,-32967.29546875,-10818.2672265625,0.752399456501007,-0.8818958616256714,2950.0,1161312386.56,32671.541875,59.0,50.0,0.9430447234656096,192.70866069377442,2950,2950.0,16.92596197128296
-43840.54875,-37426.7709375,-12780.24046875,0.746992084980011,-0.8673708057403564,3000.0,1519477990.4,37239.5403125,60.0,50.0,12.873527232057087,173.87489045515107,3000,3000.0,17.213526010513306
-49802.90703125,-41958.31578125,-14875.4484375,0.7416450881958008,-0.8503498196601867,3050.0,1935461975.04,41808.52109375,61.0,50.0,3.4851607287205493,70.89926340429733,3050,3050.0,17.918753147125244
-56922.19953125,-47311.12703125,-17407.0375390625,0.7363827180862427,-0.8092266225814819,3100.0,2484302955.52,47240.0871875,62.0,50.0,-0.2584878982023664,284.7402764916892,3100,3100.0,18.094352960586548
-64512.59578125,-52943.2915625,-20184.844140625,0.7311956286430359,-0.7942254018783569,3150.0,3154216929.28,53025.4946875,63.0,50.0,1.2765601240361537,214.9564839481067,3150,3150.0,18.326957941055298
-72352.8865625,-58688.756875,-23145.26046875,0.7260883331298829,-0.7996716499328613,3200.0,3918734376.96,58947.99375,64.0,50.0,-0.318364818631661,208.59753441062784,3200,3200.0,18.566654920578003
-79542.2228125,-63869.59375,-25994.823984375,0.721096773147583,-0.8586153602600097,3250.0,4714378219.52,64379.3375,65.0,50.0,6.262358321545573,208.75617413601913,3250,3250.0,18.806169986724854
