actor_loss,bc_loss,frame,step,total_time
88.78373718261719,88.78373718261719,0,0.0,0.765596866607666
3.7027564104093185,3.7385352316498754,100,100.0,0.9099829196929932
0.10666403557994578,0.10683834716677666,200,200.0,1.0465710163116455
0.09176935063730372,0.09181103825569153,300,300.0,1.1875178813934326
0.08151357783244388,0.0815026380866766,400,400.0,1.3233637809753418
0.0783657589466265,0.07839225962758065,500,500.0,1.9314689636230469
0.07590640904289661,0.07593441382050514,600,600.0,2.0734710693359375
0.07308547752033366,0.07315142340958118,700,700.0,2.215480089187622
0.0684859654912264,0.0684379543736577,800,800.0,2.3599700927734375
0.06578245593032034,0.06582203570753337,900,900.0,2.5015978813171387
0.06321131334741517,0.06328475866466761,1000,1000.0,3.1186330318450928
0.06150435232142411,0.061563267260789874,1100,1100.0,3.261944055557251
0.058383361796046244,0.05838745325803757,1200,1200.0,3.4043779373168945
0.056538364453480976,0.056561881750822066,1300,1300.0,3.547736883163452
0.05298468972196673,0.05302213914692402,1400,1400.0,3.689112901687622
0.0503077957742285,0.05033687084913254,1500,1500.0,4.322209119796753
0.04832072699866673,0.04824357341974974,1600,1600.0,4.4642791748046875
0.04442980103563554,0.044486193247139455,1700,1700.0,4.601783990859985
0.042548905099087424,0.042630161866545675,1800,1800.0,4.7515058517456055
0.041343504396995696,0.04131462700664997,1900,1900.0,4.889070749282837
0.03903163639404396,0.03904410926625133,2000,2000.0,5.50990104675293
0.03714050138645833,0.03709239158779383,2100,2100.0,5.659993886947632
0.035785224030513575,0.03580922301858663,2200,2200.0,5.818403005599976
0.03314983912992595,0.0331838446110487,2300,2300.0,6.059537887573242
0.031179624637312227,0.03112143764272332,2400,2400.0,6.284655809402466
0.02975396018954787,0.02974695196375251,2500,2500.0,7.0808069705963135
0.029125510963915597,0.0291617251932621,2600,2600.0,7.228036880493164
0.0287365059156229,0.02870993036776781,2700,2700.0,7.381885051727295
0.02723664447370142,0.027214380688965322,2800,2800.0,7.555431842803955
0.026191691619039763,0.026207399927079676,2900,2900.0,7.769491910934448
0.02610481178185137,0.026144870650023223,3000,3000.0,8.545814037322998
0.024481277756097885,0.02456171511672437,3100,3100.0,8.697566986083984
0.02484571181311466,0.024875680971890687,3200,3200.0,8.850818157196045
0.02455361912229864,0.02454501496627927,3300,3300.0,9.049015045166016
0.023498141003938596,0.023510473547503352,3400,3400.0,9.276468992233276
0.023068101744693103,0.023084099143743514,3500,3500.0,10.077594995498657
0.0224395170531208,0.0224092938285321,3600,3600.0,10.232872009277344
0.02140462841137801,0.021345750894397497,3700,3700.0,10.392668008804321
0.021844434505789587,0.02183302542194724,3800,3800.0,10.588762998580933
0.022444442181967863,0.022420634040609,3900,3900.0,10.811632871627808
0.022268036776913865,0.02221302886493504,4000,4000.0,11.59663701057434
0.02157506555097528,0.021511221528053282,4100,4100.0,11.75417184829712
0.020859802916350933,0.0208618201687932,4200,4200.0,11.918272018432617
0.02037092258618905,0.020365354837849736,4300,4300.0,12.115109920501709
0.02132332817383922,0.021320706885308027,4400,4400.0,12.334923028945923
0.020659258395507193,0.02072596497833729,4500,4500.0,13.13611912727356
0.021865297625265498,0.02191109113395214,4600,4600.0,13.286681890487671
0.02071968999940275,0.02075165313668549,4700,4700.0,13.44535779953003
0.019446661585185786,0.019457966443151235,4800,4800.0,13.623503923416138
0.019203596895947906,0.019249037932604553,4900,4900.0,13.845432043075562
0.020889518459760906,0.020873222490772603,5000,5000.0,14.684162139892578
0.019370482441517387,0.019381775110960005,5100,5100.0,14.836536169052124
0.018741215920389288,0.018718571476638315,5200,5200.0,14.993741989135742
0.018777740012743686,0.01880057970061898,5300,5300.0,15.168794870376587
0.020625557879557704,0.02045933110639453,5400,5400.0,15.384804964065552
0.019107960883786183,0.019077378194779157,5500,5500.0,16.16780185699463
0.018304087304611607,0.01834530188702047,5600,5600.0,16.31855583190918
0.017797751444401128,0.017814071346074344,5700,5700.0,16.47679901123047
0.019680663574450086,0.019688515365123747,5800,5800.0,16.6525239944458
0.01837809622693475,0.018370037293061615,5900,5900.0,16.96389675140381
0.01947528725065807,0.01951196987181902,6000,6000.0,17.772591829299927
