actor_ent,actor_logprob,actor_loss,batch_reward,bc_loss,buffer_size,critic_loss,critic_target_q,episode,episode_length,episode_reward,fps,frame,rl_loss,step,total_time
0.4299314022064209,-0.23532538294792174,0.07980586431920528,-2.287161979675293,0.020069275923073292,550.0,5.0652548027038575,-2.2777478981018064,11.0,50.0,-38.007673735837145,13.848691852421814,550,0.05973658954724669,550.0,21.383042097091675
0.4299314022064209,-0.28248895406723024,0.20176988065242768,-2.2884895420074463,0.0031551142185926445,600.0,4.573333244323731,-2.3060454368591308,12.0,50.0,-37.80743855162612,289.7106971064185,600,0.19861476600170136,600.0,21.555628061294556
0.4299314022064209,-0.3108088731765747,0.35436047077178956,-2.286032781600952,0.0022986160814762115,650.0,3.9927942943573,-2.3460455322265625,13.0,50.0,-40.65772622632035,292.1536586215303,650,0.3520618522167206,650.0,21.726770877838135
0.4299314022064209,-0.3666940820217133,0.551660237312317,-2.2893860435485838,0.0023764319419860838,700.0,3.2753203105926514,-2.4025296497344972,14.0,50.0,-33.73116461462836,267.6813227630062,700,0.5492838084697723,700.0,21.91356086730957
0.4299314022064209,-0.3856044518947601,0.8019080042839051,-2.283001880645752,0.0024655733108520507,750.0,2.402003960609436,-2.4660160541534424,15.0,50.0,-42.41555189859549,267.85534560669885,750,0.7994424343109131,750.0,22.1002299785614
0.4299314022064209,-0.4218679916858673,1.1181642937660217,-2.2835705852508545,0.00232257703691721,800.0,1.6175366258621215,-2.5679211711883543,16.0,50.0,-36.17050137181631,219.87657608729842,800,1.1158417129516602,800.0,22.32762908935547
0.4299314022064209,-0.4212420403957367,1.4955506372451781,-2.280471820831299,0.002193698443472386,850.0,1.026252155303955,-2.711769685745239,17.0,50.0,-35.0156722605218,197.19749726839672,850,1.4933569383621217,850.0,22.581182956695557
0.4299314022064209,-0.43241348743438723,1.8992936992645264,-2.2746589851379393,0.0023180608674883843,900.0,0.6289370846748352,-2.8956037521362306,18.0,50.0,-42.60838148892862,186.21140966115885,900,1.896975646018982,900.0,22.84969401359558
0.4299314022064209,-0.44569867372512817,2.267130289077759,-2.272572603225708,0.002213643416762352,950.0,0.4958047044277191,-3.1212045097351075,19.0,50.0,-35.548433817637914,182.14927514706815,950,2.264916639328003,950.0,23.124195098876953
0.4299314022064209,-0.4475778162479401,2.583821134567261,-2.2785886192321776,0.0021632587537169456,1000.0,0.43385968804359437,-3.374924020767212,20.0,50.0,-41.8152278024513,194.07831052129893,1000,2.581657876968384,1000.0,23.381824016571045
0.4299314022064209,-0.44607306599617,2.8800179290771486,-2.2777042388916016,0.002309152141213417,1050.0,0.4280356311798096,-3.6418107986450194,21.0,50.0,-36.4526129561243,65.38102653553997,1050,2.877708787918091,1050.0,24.14657211303711
0.4299314022064209,-0.4156475806236267,3.1774771404266358,-2.2778996658325195,0.0022857558354735376,1100.0,0.42254379749298093,-3.9229622364044188,22.0,50.0,-36.62990660796866,103.23159908284609,1100,3.17519139289856,1100.0,24.630922079086304
0.4299314022064209,-0.4541336560249329,3.514755268096924,-2.2663001155853273,0.0020978066287934785,1150.0,0.4179784953594208,-4.2090778732299805,23.0,50.0,-35.91290546549258,56.513968744677776,1150,3.512657461166382,1150.0,25.515661001205444
0.4299314022064209,-0.42884220600128176,3.8406529331207278,-2.271411933898926,0.0022800195515155796,1200.0,0.4039602935314178,-4.505996723175048,24.0,50.0,-36.35719747067832,101.81891626304567,1200,3.8383728885650634,1200.0,26.006728887557983
0.4299314022064209,-0.4182588279247284,4.206097249984741,-2.2592652797698975,0.002169550403952599,1250.0,0.3915664255619049,-4.822807788848877,25.0,50.0,-37.3154671002655,104.94738248571653,1250,4.20392767906189,1250.0,26.4831600189209
0.4299314022064209,-0.42388890743255614,4.570275650024414,-2.263075351715088,0.002187532089650631,1300.0,0.36377207159996033,-5.141524410247802,26.0,50.0,-38.983829243581916,86.19560504148146,1300,4.568088092803955,1300.0,27.063235759735107
0.4299314022064209,-0.44018646359443664,4.949825572967529,-2.2628664684295656,0.0021567517817020422,1350.0,0.35985734820365906,-5.4748255729675295,27.0,50.0,-37.12292914777329,111.976865131319,1350,4.947668838500976,1350.0,27.509757041931152
0.4299314022064209,-0.44011361718177794,5.352024765014648,-2.2615865230560304,0.0021483974009752277,1400.0,0.33324546217918394,-5.824454193115234,28.0,50.0,-39.979105693051906,80.44635476304185,1400,5.3498763084411625,1400.0,28.131288766860962
0.4299314022064209,-0.41494554460048677,5.727547874450684,-2.264841146469116,0.0022319346033036714,1450.0,0.31521291851997374,-6.1747652053833,29.0,50.0,-42.59812249381308,132.2285869212266,1450,5.725315971374512,1450.0,28.509421825408936
0.4299314022064209,-0.41928228735923767,6.1165423011779785,-2.2703043270111083,0.002278281949460507,1500.0,0.30468758881092073,-6.534993743896484,30.0,50.0,-40.75733534348587,128.81776954408448,1500,6.114263954162598,1500.0,28.897567987442017
0.4299314022064209,-0.41564979434013366,6.521091918945313,-2.272919702529907,0.0022098338939249514,1550.0,0.2922117203474045,-6.905385284423828,31.0,50.0,-45.7011273391307,55.59039238617917,1550,6.518882083892822,1550.0,29.797003984451294
0.4299314022064209,-0.43343116879463195,6.919696178436279,-2.2896467304229735,0.002209685415029526,1600.0,0.29487030148506166,-7.272166633605957,32.0,50.0,-35.291458083540036,116.31968344702847,1600,6.917486476898193,1600.0,30.226855993270874
0.4299314022064209,-0.41410136461257935,7.348868560791016,-2.289198293685913,0.0022108036093413832,1650.0,0.2600413227081299,-7.661367626190185,33.0,50.0,-46.717402060458774,138.92978161715266,1650,7.34665771484375,1650.0,30.586750984191895
