actor_ent,actor_logprob,actor_loss,batch_reward,buffer_size,critic_loss,critic_target_q,episode,episode_length,episode_reward,fps,frame,step,total_time
0.4299314022064209,-0.43548890829086306,0.03634073069319129,-2.424515562057495,550.0,5.639326000213623,-2.4191961097717285,11.0,50.0,-35.97748591221613,7.637112467394406,550,550.0,6.546980857849121
0.4299314022064209,-0.44487742900848387,0.13007627964019775,-2.3996247100830077,600.0,4.980521965026855,-2.4111262512207032,12.0,50.0,-36.59691639536398,364.74999826073645,600,600.0,6.6840620040893555
0.4299314022064209,-0.4138126456737518,0.2591059935092926,-2.3881069469451903,650.0,4.32707989692688,-2.4313269519805907,13.0,50.0,-40.124629863162546,372.0960601839941,650,650.0,6.818435907363892
0.4299314022064209,-0.4238330936431885,0.45250330448150633,-2.3733320522308348,700.0,3.507416400909424,-2.4662812423706053,14.0,50.0,-36.005054351480155,376.21665064079565,700,700.0,6.951338052749634
0.4299314022064209,-0.4288035416603088,0.7170107674598694,-2.371505537033081,750.0,2.6523143100738524,-2.5367557621002197,15.0,50.0,-32.633253246741674,350.3170498660306,750,750.0,7.09406590461731
0.4299314022064209,-0.4342969942092896,1.066991069316864,-2.337114019393921,800.0,1.721930012702942,-2.6117934131622316,16.0,50.0,-37.57561306611133,365.9459374569212,800,800.0,7.230698108673096
0.4299314022064209,-0.42425803899765013,1.462369270324707,-2.32989013671875,850.0,1.0703825950622559,-2.7527726459503175,17.0,50.0,-45.665883181348484,375.9091430538029,850,850.0,7.363709926605225
0.4299314022064209,-0.4301167416572571,1.86648681640625,-2.340615758895874,900.0,0.7025035345554351,-2.949101963043213,18.0,50.0,-34.837325120836105,359.48486141894523,900,900.0,7.50279688835144
0.4299314022064209,-0.4436419117450714,2.2525917720794677,-2.3400222873687744,950.0,0.5164246225357055,-3.1732833576202393,19.0,50.0,-36.14284824702013,359.1591797309841,950,950.0,7.642010927200317
0.4299314022064209,-0.4377303099632263,2.6014363765716553,-2.3255499839782714,1000.0,0.4363903093338013,-3.4181169509887694,20.0,50.0,-43.48775191333431,356.0366502723984,1000,1000.0,7.782445907592773
0.4299314022064209,-0.45054708123207093,2.8954537773132323,-2.334092321395874,1050.0,0.4370964860916138,-3.694026517868042,21.0,50.0,-36.69457527295356,80.79592667020083,1050,1050.0,8.401289939880371
0.4299314022064209,-0.4235105538368225,3.2125971126556396,-2.3287722206115724,1100.0,0.41926753520965576,-3.9773381519317628,22.0,50.0,-31.43887253711915,358.73955890377687,1100,1100.0,8.540666818618774
0.4299314022064209,-0.4447412073612213,3.5569405269622805,-2.315569133758545,1150.0,0.41179983735084535,-4.270865116119385,23.0,50.0,-43.72783753447975,350.85448708189523,1150,1150.0,8.683176040649414
0.4299314022064209,-0.42768806040287016,3.891391496658325,-2.314018974304199,1200.0,0.4171209907531738,-4.573167057037353,24.0,50.0,-40.147939215718054,356.6767011922377,1200,1200.0,8.823359966278076
0.4299314022064209,-0.39941961646080015,4.225989742279053,-2.3224241828918455,1250.0,0.44183825492858886,-4.891208209991455,25.0,50.0,-47.80783381320786,364.00168015301887,1250,1250.0,8.960722923278809
0.4299314022064209,-0.43107974648475644,4.605880908966064,-2.3352227115631106,1300.0,0.45676631093025205,-5.218266220092773,26.0,50.0,-35.042473555839145,360.52432976044145,1300,1300.0,9.099410057067871
0.4299314022064209,-0.4442030918598175,4.9778753280639645,-2.3429427337646485,1350.0,0.4695845377445221,-5.554274921417236,27.0,50.0,-42.00521642218556,385.3323411331294,1350,1350.0,9.229167938232422
0.4299314022064209,-0.4471353876590729,5.388374271392823,-2.3312066555023194,1400.0,0.41965526819229126,-5.910910148620605,28.0,50.0,-43.51006093210007,386.1511238448069,1400,1400.0,9.358650922775269
0.4299314022064209,-0.4057829165458679,5.7457795906066895,-2.350149278640747,1450.0,0.41672383368015287,-6.254896106719971,29.0,50.0,-46.64347426404403,379.80393612801925,1450,1450.0,9.490296840667725
0.4299314022064209,-0.43054920077323916,6.18004997253418,-2.3533059978485107,1500.0,0.4101762580871582,-6.628010654449463,30.0,50.0,-42.38103995480707,386.52975989708034,1500,1500.0,9.619653940200806
0.4299314022064209,-0.4104072690010071,6.561637554168701,-2.369582185745239,1550.0,0.3735798865556717,-6.994567604064941,31.0,50.0,-32.51144789610541,73.39697676770822,1550,1550.0,10.300880908966064
0.4299314022064209,-0.4258893716335297,7.024346714019775,-2.3529105854034422,1600.0,0.3292730605602264,-7.402839202880859,32.0,50.0,-47.840993438003515,210.18011842194935,1600,1600.0,10.53877305984497
0.4299314022064209,-0.41328928112983704,7.418499069213867,-2.3728444957733155,1650.0,0.31204211950302124,-7.779814414978027,33.0,50.0,-44.39210747248947,204.04836870434298,1650,1650.0,10.783813953399658
0.4299314022064209,-0.41781092882156373,7.858436603546142,-2.373651180267334,1700.0,0.2786086708307266,-8.185243911743164,34.0,50.0,-39.22322938215994,197.63626442701417,1700,1700.0,11.036804914474487
0.4299314022064209,-0.437389155626297,8.3066650390625,-2.3782741355895998,1750.0,0.24274896681308747,-8.594211273193359,35.0,50.0,-39.98506542828584,210.44206689906937,1750,1750.0,11.274399042129517
0.4299314022064209,-0.4372081506252289,8.74321750640869,-2.377204647064209,1800.0,0.20865286469459535,-9.011878318786621,36.0,50.0,-37.434890462310925,360.74821015113514,1800,1800.0,11.412999868392944
0.4299314022064209,-0.43254780292510986,9.188707618713378,-2.376071586608887,1850.0,0.18998357951641082,-9.435323257446289,37.0,50.0,-40.50927028052325,357.0331453242603,1850,1850.0,11.553044080734253
